,word,rt,freq,cycles
0,"('zenith',)",753.69,0.43,299
1,"('zephyr',)",874.58,0.98,297
2,"('zeppelin',)",967.63,1.18,296
3,"('zero',)",561.76,21.45,284
4,"('zeroed',)",929.23,0.39,299
5,"('zeros',)",625.09,0.98,298
6,"('zest',)",658.82,0.69,301
7,"('zigzag',)",785.26,0.45,299
8,"('zigzagging',)",955.4,0.06,301
9,"('zinc',)",624.03,0.84,298
10,"('zing',)",810.3,1.18,299
11,"('zip',)",586.94,7.63,289
12,"('zipped',)",668.29,0.53,300
13,"('zipper',)",716.52,2.82,293
14,"('zippy',)",674.66,0.37,300
15,"('zodiac',)",714.06,0.61,298
16,"('zodiacal',)",1159.21,0.04,301
17,"('zombie',)",706.28,3.61,292
18,"('zombies',)",737.56,2.25,294
19,"('zone',)",577.73,20.12,285
20,"('zoned',)",736.3,0.35,300
21,"('zones',)",605.23,1.76,296
22,"('zoning',)",726.43,1.2,296
23,"('zoo',)",572.56,13.65,287
24,"('zoologist',)",714.09,0.24,300
25,"('zoology',)",685.28,0.33,299
26,"('zoom',)",549.76,3.55,294
27,"('zooming',)",709.69,0.63,299
28,"('zooms',)",666.93,0.06,302
29,"('zucchini',)",848.68,0.96,297
30,"('wizardry',)",805.64,0.39,299
31,"('wobble',)",748.4,0.59,299
32,"('wobbled',)",755.4,0.04,302
33,"('wobbling',)",809.33,0.22,300
34,"('wobbly',)",823.54,0.73,298
35,"('woe',)",734.84,2.33,296
36,"('woebegone',)",863.33,0.02,301
37,"('woeful',)",821.48,0.14,300
38,"('woke',)",704.9,26.35,283
39,"('wolf',)",581.5,20.27,284
40,"('wolfhound',)",807.82,0.02,301
41,"('wolves',)",640.16,5.92,290
42,"('woman',)",545.7,434.63,270
43,"('womanhood',)",848.09,0.76,297
44,"('womanish',)",857.45,0.14,300
45,"('womanize',)",845.55,0.02,302
46,"('womanizer',)",768.82,0.41,299
47,"('womankind',)",900.56,0.18,300
48,"('womanly',)",707.68,0.16,300
49,"('womb',)",700.88,3.47,293
50,"('wombat',)",770.52,0.29,301
51,"('women',)",653.88,195.65,273
52,"('womenfolk',)",762.13,0.16,300
53,"('won',)",659.9,759.39,267
54,"('wonder',)",590.88,116.98,275
55,"('wondered',)",639.88,14.9,285
56,"('wonderful',)",625.77,164.0,273
57,"('wonderfully',)",646.42,2.24,294
58,"('wondering',)",740.37,63.35,278
59,"('wonderland',)",815.29,1.82,294
60,"('wonders',)",612.03,5.82,291
61,"('wondrous',)",842.08,1.63,295
62,"('wondrously',)",846.28,0.02,301
63,"('wont',)",877.12,1.59,299
64,"('woo',)",746.73,6.73,292
65,"('wood',)",595.42,27.0,284
66,"('woodbine',)",842.8,0.06,301
67,"('woodblock',)",812.79,0.02,301
68,"('woodcarver',)",820.72,0.04,301
69,"('woodcock',)",871.96,0.08,301
70,"('woodcraft',)",661.68,0.02,301
71,"('woodcutter',)",777.81,0.24,300
72,"('woodcutters',)",779.13,0.02,302
73,"('wooded',)",754.97,0.33,300
74,"('wooden',)",703.73,7.2,289
75,"('woodland',)",745.41,1.12,296
76,"('woodman',)",754.42,0.35,299
77,"('woodpecker',)",696.37,0.98,297
78,"('woodpile',)",780.47,0.22,300
79,"('woods',)",573.88,29.06,283
80,"('woodshed',)",845.03,0.43,299
81,"('woodsman',)",778.5,0.45,299
82,"('woodwind',)",735.0,0.29,300
83,"('woodwork',)",761.91,0.84,298
84,"('woodworking',)",742.69,0.1,301
85,"('woodworm',)",938.88,0.02,302
86,"('woody',)",652.06,8.49,289
87,"('wooed',)",828.59,0.31,300
88,"('woof',)",720.39,2.76,294
89,"('wool',)",657.94,3.16,294
90,"('woolen',)",676.46,0.57,299
91,"('woollen',)",811.56,0.06,301
92,"('woolly',)",818.48,0.47,299
93,"('woozy',)",666.0,0.84,298
94,"('word',)",620.22,235.55,273
95,"('worded',)",671.66,0.27,301
96,"('wording',)",660.06,0.27,302
97,"('wordless',)",694.18,0.04,301
98,"('wordplay',)",743.53,0.18,300
99,"('words',)",598.45,122.02,276
